Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,0,"vandalism, physical",Delaware,Delaware
Suspected Physical Attack,2012,4/4/2012,3:32 PM,4/6/2012,3:30 PM,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,,,,"vandalism, physical","WAPA-SNR Regional Office, California",California
Physical Attack,2012,4/3/2012,3:33 PM,4/3/2012,8:25 PM,Seattle City Light,"Seattle, Washington",WECC,0,0,0,"vandalism, physical",Washington,Washington
Vandalism,2012,4/3/2012,11:10 AM,4/3/2012,11:25 AM,ISO New England,"West Rutland, Vermont",NPCC,0,0,0,vandalism,"West Rutland, Vermont",Vermont
Vandalism,2012,4/1/2012,8:27 PM,4/3/2012,8:28 AM,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,0,vandalism,"Council Bluffs, Iowa",Iowa
Suspected Physical Attack,2012,3/30/2012,11:10 AM,3/30/2012,11:30 AM,ISO New England,Vermont,NPCC,,,,"vandalism, physical",Vermont,Vermont
Electrical System Separation (Islanding),2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,0,islanding,"Lansing, Michigan",Michigan
Suspected Physical Attack,2012,3/28/2012,10:17 AM,3/28/2012,10:17 AM,Tacoma Power (TPWR),"Graham, Washington",WECC,,,,"vandalism, physical","Graham, Washington",Washington
Suspected Physical Attack,2012,3/26/2012,1:24 PM,3/26/2012,1:24 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,0,"vandalism, physical",Delaware,Delaware
Severe Weather - Thunderstorms,2012,3/20/2012,8:00 AM,3/20/2012,1:00 PM,CenterPoint Energy,"Houston, Texas",TRE,,"96,000","96,000","severe weather, thunderstorm",Texas,Texas
Suspected Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,0,"vandalism, physical","New Castle, Delaware",Delaware
Suspected Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,UNK,UNK,,"vandalism, physical",Texas,Texas
Suspected Physical Attack,2012,3/4/2012,1:27 AM,3/4/2012,6:58 AM,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,,,,"vandalism, physical","Prince Georges County, Maryland",Maryland
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,"140,000","140,000","severe weather, winter storm","Lower Peninsula, Michigan",Michigan
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,"130,000","130,000","severe weather, winter storm","Southeastern, Michigan",Michigan
Operational Failure/Equipment Malfunction,2012,3/2/2012,1:45 PM,3/2/2012,3:30 PM,"City of Piggott, Arkansas","Piggott, Arkansas",SERC,,,,equipment failure,"Piggott, Arkansas",Arkansas
Severe Weather - Tornadoes,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,UNK,,"severe weather, tornado",Northern Alabama; Southeast Tennessee,Tennessee
Suspected Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK,,"vandalism, physical",Coos County Oregon,Oregon
Electrical System Separation (Islanding),2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,1,islanding,California,California
Suspected Physical Attack,2012,2/24/2012,11:24 AM,2/24/2012,11:49 AM,Tacoma Power (TPWR),"Spanaway, Washington",WECC,,,,"vandalism, physical","Spanaway, Washington",Washington
Suspected Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,0,"vandalism, physical","South East College Station, Texas",Texas
Suspected Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,0,"vandalism, physical","Londonderry, New Hampshire",New Hampshire
Severe Weather - Winter Storm,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,"90,000","90,000","severe weather, winter storm","Kentucky, Virginia, West Virginia",West Virginia
Suspected Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK,,"vandalism, cyber","Little Rock, Arkansas",Arkansas
Suspected Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,0,"vandalism, physical","Port Orchard, Washington",Washington
Suspected Physical Attack,2012,2/14/2012,7:20 PM,2/15/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Physical Attack,2012,2/13/2012,7:02 AM,2/13/2012,4:25 PM,Progress Energy Carolinas,"Asheville, North Carolina",SERC,,,,"vandalism, physical","Asheville, North Carolina",North Carolina
Suspected Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,0,"vandalism, physical","Lamar, Colorado",Colorado
Suspected Physical Attack,2012,2/11/2012,8:55 AM,2/11/2012,8:55 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Vandalism,2012,1/29/2012,12:45 PM,1/29/2012,12:45 PM,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,,,,vandalism,"Roosevelt Substation, Tacoma, Washington",Washington
Vandalism,2012,1/27/2012,9:40 AM,1/27/2012,9:40 AM,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,,,,vandalism,"Frederickson Substation, Spanaway, Washington",Washington
Vandalism,2012,1/24/2012,11:22 AM,1/24/2012,11:22 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,vandalism,"Tacoma, Washington",Washington
Severe Weather - Winter Storm,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,"1,600","426,000","426,000","severe weather, winter storm","King, Pierce and Thurston Counties, Washington",Washington
Suspected Cyber Attack,2012,1/17/2012,10:31 AM,1/17/2012,5:21 PM,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,,0,0,"vandalism, cyber","Austin, Texas",Texas
Vandalism,2012,1/15/2012,9:35 AM,1/15/2012,9:35 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,vandalism,"Tacoma, Washington",Washington
Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,0,"vandalism, physical",Delaware,Delaware
Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,0,"vandalism, physical",Delaware,Delaware
Suspected Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,0,"vandalism, physical",Nevada,Nevada
Load Shed,2012,1/10/2012,9:30 PM,1/10/2012,9:30 PM,Luminant Energy Company LLC,"Rusk County, Texas",TRE,,,,load shedding,"Rusk County, Texas",Texas
Vandalism,2012,1/9/2012,2:30 PM,1/9/2012,3:30 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,,vandalism,"Watertown, Connecticut",Connecticut
Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,1,load shedding,Louisiana,Louisiana
Sabotage,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,0,vandalism,AEP Region,AEP Region
Suspected physical attack,2012,1/5/2012,10:28 AM,1/5/2012,12:25 PM,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,,,,"vandalism, physical","Creek County, Oklahoma",Oklahoma
Suspected physical attack,2012,1/4/2012,12:14 PM,1/4/2012,12:14 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Physical Attack,2011,12/31/2011,9:26 PM,12/31/2011,9:26 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,0,"vandalism, cyber","Boise, Idaho",Idaho
Suspected Physical Attack,2011,12/20/2011,9:30 AM,12/20/2011,9:31 AM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500","2,500","vandalism, physical","Sweet Home, Oregon",Oregon
Suspected Physical Attack,2011,12/19/2011,8:48 AM,12/19/2011,4:00 PM,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,,,,"vandalism, physical","Croft Substation, Tacoma, Washington",Washington
Suspected Physical Attack,2011,12/13/2011,3:19 AM,12/14/2011,3:19 AM,Dayton Power & Light,Clinton County Ohio,RFC,,0,0,"vandalism, physical",Clinton County Ohio,Ohio
Suspected Physical Attack,2011,12/8/2011,8:45 AM,12/8/2011,4:30 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,"60,000","60,000",severe weather,Central Virginia,Virginia
Public Appeal to Reduce Electricity Usage,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,"34,500","34,500",public appeal,"Bismarck-Mandan, North Dakota",North Dakota
Suspected Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,0,"vandalism, physical","Montague, Michigan",Michigan
Suspected Physical Attack,2011,12/5/2011,2:00 PM,12/6/2011,5:00 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,,"vandalism, physical","Tacoma, Washington",Washington
Suspected Physical Attack,2011,12/2/2011,4:15 PM,12/2/2011,8:30 PM,Luminant Energy Company LLC,Rusk County Texas,TRE,,,,"vandalism, physical",Rusk County Texas,Texas
Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,"91,690","91,690",severe weather,Southern California,California
Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,"60,000","60,000",severe weather,Wasatch Front Area Utah,Utah
Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,"100,000","100,000",severe weather,Northern California,California
Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,0,vandalism,"Orchard Substation, Washington",Washington
Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,"150,000","150,000",severe weather,California,California
Suspected Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,0,"vandalism, physical",Indiana,Indiana
Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,0,vandalism,"McKee, New Jersey",New Jersey
Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,0,vandalism,"Cate Road, Deerfield, New Hampshire",New Hampshire
Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,0,vandalism,"Sweetwater County, Wyoming",Wyoming
Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,"146,721","146,721",severe weather,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",Pennsylvania
Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,"50,000","50,000",severe weather,New York City area,New York
Severe Weather,2011,10/29/2011,8:00 PM,10/31/2011,8:00 PM,"Orange and Rockland Utilities, Inc",New Jersey; New York,"NPCC, RFC",,"74,000","74,000",severe weather,New Jersey; New York,New York
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359","312,359",severe weather,Pennsylvania,Pennsylvania
Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,UNK,"1,418,100","1,418,100",severe weather,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,Rhode Island
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,"50,000","50,000",severe weather,Pennsylvania,Pennsylvania
Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,UNK,"109,335","109,335",severe weather,Southeast Pennsylvania,Pennsylvania
Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,"379,000","379,000",severe weather,Northwest and Central New Jersey,New Jersey
Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000","197,000",severe weather,New Jersey,New Jersey
Severe Weather,2011,10/29/2011,3:00 PM,11/2/2011,8:15 AM,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,,"145,000","145,000",severe weather,"Mid-Hudson Valley Region, New York",New York
Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,"161,151","161,151",severe weather,Southeast New York,New York
Vandalism,2011,10/27/2011,1:00 AM,10/27/2011,2:36 AM,Midwest ISO,"Munster, Indiana",RFC,,,,vandalism,"Munster, Indiana",Indiana
Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,UNK,"204,000","204,000",severe weather,Colorado,Colorado
Suspected Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,0,"vandalism, physical","Holmesburg Substation, Philadelphia, Pennsylvania",Pennsylvania
Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,0,vandalism,"McKee, New Jersey",New Jersey
Suspected Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,0,"vandalism, physical","Holmesburg Substation, Philadelphia, Pennsylvania",Pennsylvania
Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,"2,000","2,000",vandalism,Southwest Ohio,Ohio
Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,0,vandalism,"Seat Pleasant, Maryland",Maryland
Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,0,vandalism,"English Creek, New Jersey",New Jersey
Suspected Physical Attack,2011,10/7/2011,8:04 AM,10/7/2011,4:00 PM,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,,,,"vandalism, physical","Olympic Pipeline, Spanaway, Washington",Washington
Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,0,vandalism,"Oquirrh Substation, Utah",Utah
Suspected Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,0,"vandalism, physical","Wilmington, Delaware",Delaware
Vandalism,2011,9/29/2011,6:44 PM,9/30/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,,vandalism,"Collins Substation, Tacoma, Washington",Washington
Severe Weather,2011,9/29/2011,5:00 AM,9/30/2011,6:00 AM,CenterPoint Energy,"Houston metro area, Texas",TRE,,65000,65000,severe weather,Texas,Texas
Suspected Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,0,"vandalism, physical","Bethany Beach, Delaware",Delaware
Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,0,vandalism,"Dorothy, New Jersey",New Jersey
Vandalism,2011,9/28/2011,9:30 AM,9/28/2011,1:00 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,,vandalism,"Watertown, Connecticut",Connecticut
Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,0,vandalism,"McKee City, New Jersey",New Jersey
Vandalism,2011,9/24/2011,4:17 PM,9/25/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,,vandalism,"Collins Substation, Tacoma, Washington",Washington
Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,0,vandalism,"North Haven, Connecticut",Connecticut
Vandalism,2011,9/22/2011,2:50 PM,9/22/2011,2:51 PM,Dayton Power & Light,"Montgomery County, Ohio",RFC,,0,0,vandalism,"Montgomery County, Ohio",Ohio
Generation Inadequacy; Load Shed,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616","319,616",load shedding,Puerto Rico,Puerto Rico
Suspected Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,0,"vandalism, physical","Hockessin, Delaware",Delaware
Vandalism,2011,9/20/2011,12:55 PM,9/20/2011,5:00 PM,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,,,,vandalism,"Lacamas Substaion, Washington",Washington
Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,0,vandalism,"Salt Lake County, Utah",Utah
Vandalism,2011,9/13/2011,2:03 PM,9/13/2011,6:21 PM,New York Power Authority,"Saranac, New York",NPCC,,0,0,vandalism,"Saranac, New York",New York
Vandalism,2011,9/13/2011,11:43 AM,9/14/2011,4:00 PM,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,,,,vandalism,"Lacamas Substation, Roy, Washington",Washington
Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,0,vandalism,"English Creek, New Jersey",New Jersey
Vandalism,2011,9/8/2011,7:53 PM,9/9/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,,vandalism,"Collins Substation, Tacoma, Washington",Washington
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","2,000,000","transmission interruption, distribution interruption",Arizona; California,California
Actual Physical Attack,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,0,"vandalism, physical",Western Connecticut; New York,New York
Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,Alabama; Georgia,SERC,177,"53,295","53,295",severe weather,Alabama; Georgia,Georgia
Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,"105,000","105,000",severe weather,"Southeast Lower Peninsula, Michigan",Michigan
Vandalism,2011,9/1/2011,8:13 AM,9/1/2011,4:00 PM,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,,,,vandalism,"Graham Substaion, Washington",Washington
Suspected Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,0,"vandalism, physical",Southwest Ohio,Ohio
Suspected Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,0,"vandalism, physical","Calapooya Substation, Oregon",Oregon
Severe Weather,2011,8/28/2011,12:30 PM,8/28/2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,,"116,000","116,000",severe weather,New York,New York
Severe Weather,2011,8/28/2011,12:10 PM,8/28/2011,12:11 PM,ISO New England,Eastern Massachusetts,NPCC,,"50,000","50,000",severe weather,Eastern Massachusetts,Massachusetts
Severe Weather,2011,8/28/2011,7:40 AM,8/29/2011,7:40 AM,The United illuminating Company,Southwest Connecticut,NPCC,,"158,000","158,000",severe weather,Southwest Connecticut,Connecticut
Severe Weather,2011,8/28/2011,5:01 AM,9/3/2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,,50000,50000,severe weather,Borough's and Westshester County New York,New York
Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,UNK,"152,261","152,261",severe weather,New York,New York
Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,"284,000","284,000",severe weather,Eastern and Northeastern Pennsylvania,Pennsylvania
Severe Weather,2011,8/28/2011,12:30 AM,8/30/2011,12:30 AM,FirstEnergy Corp: Jersey Central Power & Light,Northern and Central New Jersey,RFC,,"650,000","650,000",severe weather,Northern and Central New Jersey,New Jersey
Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000","665,000",severe weather,New Jersey,New Jersey
Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,"99,700","99,700",severe weather,New York,New York
Severe Weather,2011,8/28/2011,9:42 AM,8/30/2011,12:01 AM,Niagara Mohawk Power Corporation,Eastern New York,NPCC,,"100,000","100,000",severe weather,Eastern New York,New York
Severe Weather,2011,8/28/2011,12:01 AM,8/30/2011,12:01 AM,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,,"180,000","180,000",severe weather,"Mid-Hudson, New York",New York
Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113","760,113",severe weather,Maryland,Maryland
Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,"285,465","285,465",severe weather,Eastern North Carolina,North Carolina
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,10:00 PM,Exelon Corporation / PECO,Pennsylvania,RFC,,"264,000","264,000",severe weather,Pennsylvania,Pennsylvania
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,"140,000","140,000",severe weather,Southern New Jersey,New Jersey
Severe Weather,2011,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,Pepco,District of Columbia; Maryland,RFC,,"220,000","220,000",severe weather,Washington DC,Washington
Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000","1,000,000",severe weather,North Carolina; Virginia,Virginia
Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000","136,000",severe weather,Eastern North Carolina,North Carolina
Severe Weather,2011,8/27/2011,1:00 PM,8/29/2011,1:00 PM,Delmarva Power & Light Company,Delaware; Maryland,RFC,,"165,000","165,000",severe weather,Delaware; Maryland,Maryland
Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000","108,000",severe weather,Maryland,Maryland
Distribution System Interruption,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200","1,200",distribution interruption,Wilson County North Carolina,North Carolina
Severe Weather,2011,8/26/2011,12:30 AM,8/28/2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,,"200,717","200,717",severe weather,Pennsylvania,Pennsylvania
Severe Weather,2011,8/25/2011,12:30 AM,8/28/2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,,"107,833","107,833",severe weather,Ohio,Ohio
Suspected Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,0,"vandalism, physical",Maine,Maine
Severe Weather,2011,8/24/2011,2:51 PM,8/24/2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,,"53,064","53,064",severe weather,"Arkansas, Louisiana, Texas",Texas
Public Appeal to Reduce Electricity Usage,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,0,public appeal,Texas,Texas
Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,"79,000","79,000",severe weather,Texas,Texas
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,0,public appeal,Texas,Texas
